DATUM;MAN. > 2 JR.;MAN. 1-2 JR.;MAN. < 1 JAAR;VR. > 2 JR.;VR. 1-2 JR.;VR. < 1 JR.;MANNELIJK;VROUWELIJK;KALVEREN;TOTAAL
2022-10-04;29,0;4,0;7,0;35,0;10,0;4,0;0,0;0,0;0,0;89,0
2022-10-17;24,0;2,0;3,0;29,0;5,0;1,0;0,0;0,0;0,0;64,0
2022-11-01;25,0;1,0;4,0;44,0;1,0;5,0;0,0;0,0;0,0;80,0
2022-11-14;33,0;1,0;2,0;43,0;3,0;9,0;0,0;0,0;0,0;91,0
2022-11-28;44,0;2,0;1,0;56,0;7,0;6,0;0,0;0,0;0,0;116,0
2022-12-12;41,0;0,0;4,0;53,0;8,0;10,0;0,0;0,0;0,0;116,0
2022-12-20;19,0;1,0;1,0;33,0;6,0;7,0;0,0;0,0;0,0;67,0
2023-01-09;43,0;2,0;0,0;56,0;13,0;4,0;0,0;0,0;0,0;144,0
2023-01-23;42,0;2,0;1,0;54,0;6,0;3,0;0,0;0,0;0,0;108,0
2023-01-30;44,0;2,0;1,0;67,0;9,0;11,0;0,0;0,0;0,0;134,0
2023-02-06;56,0;3,0;3,0;90,0;8,0;6,0;0,0;0,0;0,0;166,0
2023-02-13;56,0;9,0;3,0;86,0;6,0;4,0;0,0;0,0;0,0;164,0
2023-02-20;44,0;4,0;3,0;85,0;7,0;4,0;0,0;0,0;0,0;147,0
2023-02-27;45,0;0,0;3,0;53,0;5,0;2,0;0,0;0,0;0,0;108,0
2023-03-06;50,0;3,0;2,0;66,0;5,0;5,0;0,0;0,0;0,0;131,0
2023-03-14;42,0;4,0;3,0;81,0;5,0;6,0;0,0;0,0;0,0;141,0
2023-03-20;41,0;6,0;2,0;90,0;7,0;15,0;0,0;0,0;0,0;161,0
2023-03-27;43,0;6,0;7,0;73,0;2,0;12,0;0,0;0,0;0,0;143,0
2023-04-03;40,0;5,0;8,0;75,0;7,0;7,0;0,0;0,0;0,0;142,0
2023-04-11;40,0;5,0;14,0;60,0;4,0;9,0;0,0;0,0;0,0;132,0
2023-04-17;38,0;11,0;26,0;91,0;7,0;6,0;0,0;0,0;0,0;179,0
2023-04-24;56,0;5,0;11,0;101,0;12,0;10,0;0,0;0,0;0,0;195,0
2023-05-01;53,0;8,0;16,0;71,0;3,0;4,0;0,0;0,0;0,0;155,0
2023-05-08;61,0;6,0;28,0;84,0;6,0;10,0;0,0;0,0;0,0;195,0
2023-05-15;67,0;7,0;16,0;78,0;6,0;12,0;0,0;0,0;0,0;186,0
2023-05-22;60,0;7,0;12,0;90,0;4,0;5,0;0,0;0,0;0,0;178,0
2023-05-30;52,0;6,0;11,0;103,0;6,0;10,0;0,0;0,0;0,0;188,0
2023-06-05;46,0;9,0;16,0;80,0;7,0;9,0;0,0;0,0;0,0;167,0
2023-06-12;57,0;7,0;10,0;65,0;7,0;6,0;0,0;0,0;0,0;152,0
2023-06-19;76,0;8,0;16,0;121,0;9,0;15,0;0,0;0,0;0,0;245,0
2023-06-26;55,0;4,0;9,0;63,0;3,0;8,0;0,0;0,0;0,0;142,0
2023-07-10;152,0;7,0;13,0;59,0;11,0;10,0;0,0;0,0;0,0;252,0
2023-07-24;71,0;3,0;20,0;82,0;6,0;11,0;0,0;0,0;0,0;193,0
2023-08-07;60,0;8,0;17,0;64,0;7,0;15,0;0,0;0,0;0,0;171,0
2023-08-21;47,0;6,0;18,0;70,0;8,0;10,0;0,0;0,0;0,0;159,0
2023-09-04;47,0;6,0;19,0;77,0;8,0;22,0;0,0;0,0;0,0;179,0
2023-09-18;58,0;5,0;18,0;67,0;7,0;13,0;0,0;0,0;0,0;168,0
2023-10-02;60,0;8,0;17,0;82,0;13,0;15,0;0,0;0,0;0,0;195,0
2023-10-16;59,0;3,0;19,0;65,0;7,0;13,0;0,0;0,0;0,0;166,0
2023-10-30;42,0;6,0;17,0;78,0;9,0;13,0;0,0;0,0;0,0;165,0
2023-11-13;57,0;5,0;23,0;85,0;10,0;16,0;0,0;0,0;0,0;196,0
2023-12-11;52,0;3,0;21,0;87,0;7,0;12,0;0,0;0,0;0,0;182,0
2023-12-22;51,0;0,0;13,0;76,0;6,0;14,0;0,0;0,0;0,0;160,0
2024-01-09;40,0;4,0;16,0;92,0;6,0;15,0;0,0;0,0;0,0;173,0
2024-01-22;47,0;3,0;15,0;84,0;11,0;15,0;0,0;0,0;0,0;175,0
2024-02-05;42,0;2,0;16,0;72,0;9,0;7,0;0,0;0,0;0,0;148,0
2024-02-19;56,0;5,0;13,0;80,0;9,0;13,0;0,0;0,0;0,0;176,0
2024-03-04;0,0;0,0;0,0;0,0;0,0;0,0;79,0;122,0;1,0;202,0
2024-04-02;0,0;0,0;0,0;0,0;0,0;0,0;84,0;112,0;16,0;212,0
2024-04-08;0,0;0,0;0,0;0,0;0,0;0,0;67,0;110,0;13,0;190,0
2024-04-22;0,0;0,0;0,0;0,0;0,0;0,0;80,0;142,0;24,0;246,0
2024-04-29;0,0;0,0;0,0;0,0;0,0;0,0;67,0;104,0;18,0;189,0
2024-05-06;0,0;0,0;0,0;0,0;0,0;0,0;67,0;115,0;26,0;208,0
2024-05-13;0,0;0,0;0,0;0,0;0,0;0,0;102,0;103,0;28,0;233,0
2024-06-03;0,0;0,0;0,0;0,0;0,0;0,0;77,0;93,0;27,0;197,0
2024-06-10;0,0;0,0;0,0;0,0;0,0;0,0;34,0;50,0;11,0;95,0
2024-06-17;0,0;0,0;0,0;0,0;0,0;0,0;69,0;72,0;29,0;170,0
2024-06-24;0,0;0,0;0,0;0,0;0,0;0,0;74,0;101,0;31,0;206,0
2024-07-08;0,0;0,0;0,0;0,0;0,0;0,0;83,0;95,0;33,0;211,0
2024-07-22;0,0;0,0;0,0;0,0;0,0;0,0;77,0;80,0;27,0;184,0
2024-08-02;0,0;0,0;0,0;0,0;0,0;0,0;61,0;76,0;24,0;161,0
2024-08-19;0,0;0,0;0,0;0,0;0,0;0,0;70,0;73,0;24,0;167,0
2024-09-02;0,0;0,0;0,0;0,0;0,0;0,0;75,0;85,0;22,0;182,0
2024-09-16;0,0;0,0;0,0;0,0;0,0;0,0;51,0;80,0;25,0;156,0
2024-09-30;0,0;0,0;0,0;0,0;0,0;0,0;67,0;112,0;35,0;214,0
2024-10-21;0,0;0,0;0,0;0,0;0,0;0,0;62,0;93,0;24,0;179,0
2024-11-04;0,0;0,0;0,0;0,0;0,0;0,0;58,0;84,0;28,0;170,0
